Insertion sort no 59, time: 436.8639831542968750[ms], size: 20000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 60, time: 405.3439941406250000[ms], size: 20000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 61, time: 927.3920288085937500[ms], size: 30000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 62, time: 919.0880126953125000[ms], size: 30000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 63, time: 872.0639648437500000[ms], size: 30000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 64, time: 848.8640136718750000[ms], size: 30000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 65, time: 864.2879638671875000[ms], size: 30000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 66, time: 1536.3680419921875000[ms], size: 40000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 67, time: 1535.8079833984375000[ms], size: 40000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 68, time: 1545.5360107421875000[ms], size: 40000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 69, time: 1502.0960693359375000[ms], size: 40000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 70, time: 1538.3520507812500000[ms], size: 40000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 71, time: 2432.2561035156250000[ms], size: 50000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 72, time: 2363.9040527343750000[ms], size: 50000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 73, time: 2375.1999511718750000[ms], size: 50000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 74, time: 2387.0881347656250000[ms], size: 50000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 75, time: 2304.5917968750000000[ms], size: 50000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 76, time: 3423.1518554687500000[ms], size: 60000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 77, time: 3828.5920410156250000[ms], size: 60000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 78, time: 3374.0480957031250000[ms], size: 60000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 79, time: 3636.4479980468750000[ms], size: 60000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 80, time: 3354.3039550781250000[ms], size: 60000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 81, time: 4571.0083007812500000[ms], size: 70000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 82, time: 4470.5283203125000000[ms], size: 70000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 83, time: 4905.0561523437500000[ms], size: 70000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 84, time: 4520.6401367187500000[ms], size: 70000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 85, time: 4789.9843750000000000[ms], size: 70000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 86, time: 6191.9042968750000000[ms], size: 80000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 87, time: 5983.5200195312500000[ms], size: 80000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 88, time: 5704.0317382812500000[ms], size: 80000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 89, time: 5642.8798828125000000[ms], size: 80000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 90, time: 5639.1357421875000000[ms], size: 80000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 91, time: 7114.1118164062500000[ms], size: 90000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 92, time: 7203.4560546875000000[ms], size: 90000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 93, time: 7128.3203125000000000[ms], size: 90000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 94, time: 7161.3759765625000000[ms], size: 90000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 95, time: 7272.5439453125000000[ms], size: 90000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 96, time: 8764.2558593750000000[ms], size: 100000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 97, time: 8809.3447265625000000[ms], size: 100000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 98, time: 8709.8564453125000000[ms], size: 100000, pre-sorting: 0.50, options: type : uint32_t 
