Quick sort no 62, time: 0.3999999761581421[ms], size: 3000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 63, time: 0.3950000107288361[ms], size: 3000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 64, time: 0.4129999876022339[ms], size: 3000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 65, time: 0.4099999964237213[ms], size: 3000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 66, time: 0.4070000052452087[ms], size: 3000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 67, time: 0.5130000114440918[ms], size: 3000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 68, time: 0.4499999880790710[ms], size: 3000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 69, time: 0.3900000154972076[ms], size: 3000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 70, time: 0.4450000226497650[ms], size: 3000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 71, time: 0.4410000145435333[ms], size: 3000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 72, time: 0.4379999935626984[ms], size: 3000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 73, time: 20.4890003204345703[ms], size: 4000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 74, time: 19.8209991455078125[ms], size: 4000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 75, time: 19.6940002441406250[ms], size: 4000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 76, time: 21.0330009460449219[ms], size: 4000, pre-sorting: 0.00, options: type : float 
Insertion sort no 77, time: 19.8049983978271484[ms], size: 4000, pre-sorting: 0.50, options: type : float 
Insertion sort no 78, time: 20.6540012359619141[ms], size: 4000, pre-sorting: 0.33, options: type : float 
Shell sort no 79, time: 0.9459999799728394[ms], size: 4000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 80, time: 0.9560000300407410[ms], size: 4000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 81, time: 0.9840000271797180[ms], size: 4000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 82, time: 1.0740000009536743[ms], size: 4000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 83, time: 0.9749999642372131[ms], size: 4000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 84, time: 0.9759999513626099[ms], size: 4000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 85, time: 0.6239999532699585[ms], size: 4000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 86, time: 0.5569999814033508[ms], size: 4000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 87, time: 0.5399999618530273[ms], size: 4000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 88, time: 0.6360000371932983[ms], size: 4000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 89, time: 0.5509999990463257[ms], size: 4000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 90, time: 0.5469999909400940[ms], size: 4000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 91, time: 0.5399999618530273[ms], size: 4000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 92, time: 0.5370000004768372[ms], size: 4000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 93, time: 0.5329999923706055[ms], size: 4000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 94, time: 0.6050000190734863[ms], size: 4000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 95, time: 0.6079999804496765[ms], size: 4000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 96, time: 0.6019999980926514[ms], size: 4000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 97, time: 30.2789993286132812[ms], size: 5000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 98, time: 30.1389999389648438[ms], size: 5000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 99, time: 31.6849975585937500[ms], size: 5000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 100, time: 30.8320007324218750[ms], size: 5000, pre-sorting: 0.00, options: type : float 
Insertion sort no 101, time: 32.2000007629394531[ms], size: 5000, pre-sorting: 0.50, options: type : float 
Insertion sort no 102, time: 32.5400009155273438[ms], size: 5000, pre-sorting: 0.33, options: type : float 
Shell sort no 103, time: 1.4120000600814819[ms], size: 5000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 104, time: 1.3930000066757202[ms], size: 5000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 105, time: 1.9240000247955322[ms], size: 5000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 106, time: 1.8819999694824219[ms], size: 5000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 107, time: 1.4989999532699585[ms], size: 5000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 108, time: 2.0409998893737793[ms], size: 5000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 109, time: 0.9420000314712524[ms], size: 5000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 110, time: 0.7999999523162842[ms], size: 5000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 111, time: 0.7989999651908875[ms], size: 5000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 112, time: 0.7720000147819519[ms], size: 5000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 113, time: 0.7649999856948853[ms], size: 5000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 114, time: 0.7639999985694885[ms], size: 5000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 115, time: 0.7140000462532043[ms], size: 5000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 116, time: 0.6869999766349792[ms], size: 5000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 117, time: 0.6820000410079956[ms], size: 5000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 118, time: 0.8930000066757202[ms], size: 5000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 119, time: 0.7709999680519104[ms], size: 5000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 120, time: 0.7789999842643738[ms], size: 5000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 121, time: 45.1930007934570312[ms], size: 6000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 122, time: 44.1450004577636719[ms], size: 6000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 123, time: 46.2569999694824219[ms], size: 6000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 124, time: 45.1629981994628906[ms], size: 6000, pre-sorting: 0.00, options: type : float 
Insertion sort no 125, time: 46.2779998779296875[ms], size: 6000, pre-sorting: 0.50, options: type : float 
Insertion sort no 126, time: 44.4500007629394531[ms], size: 6000, pre-sorting: 0.33, options: type : float 
Shell sort no 127, time: 1.5640000104904175[ms], size: 6000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 128, time: 1.5320000648498535[ms], size: 6000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 129, time: 1.7059999704360962[ms], size: 6000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 130, time: 1.6579999923706055[ms], size: 6000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 131, time: 1.7100000381469727[ms], size: 6000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 132, time: 1.6399999856948853[ms], size: 6000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 133, time: 0.8719999790191650[ms], size: 6000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 134, time: 0.8510000109672546[ms], size: 6000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 135, time: 0.8580000400543213[ms], size: 6000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 136, time: 0.9779999852180481[ms], size: 6000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 137, time: 0.9790000319480896[ms], size: 6000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 138, time: 1.0989999771118164[ms], size: 6000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 139, time: 0.9889999628067017[ms], size: 6000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 140, time: 0.9430000185966492[ms], size: 6000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 141, time: 0.9399999976158142[ms], size: 6000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 142, time: 1.0069999694824219[ms], size: 6000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 143, time: 1.0900000333786011[ms], size: 6000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 144, time: 1.0000000000000000[ms], size: 6000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 145, time: 59.9469985961914062[ms], size: 7000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 146, time: 61.4729995727539062[ms], size: 7000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 147, time: 61.5429992675781250[ms], size: 7000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 148, time: 61.5929985046386719[ms], size: 7000, pre-sorting: 0.00, options: type : float 
Insertion sort no 149, time: 62.3680000305175781[ms], size: 7000, pre-sorting: 0.50, options: type : float 
Insertion sort no 150, time: 61.5929985046386719[ms], size: 7000, pre-sorting: 0.33, options: type : float 
Shell sort no 151, time: 1.9180001020431519[ms], size: 7000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 152, time: 1.9850000143051147[ms], size: 7000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 153, time: 1.9110000133514404[ms], size: 7000, pre-sorting: 0.33, options: gaps: pow2 
